remote_station_s,remote_station_ns,vehicle_s,vehicle_ns,,m2m_latency_ms
1762875188,543853033,1762875189,376814487,,832.961
1762875192,284377481,1762875192,954959222,,670.582
1762875196,955638176,1762875197,874137913,,918.5
1762875199,928483151,1762875200,507309470,,578.826
1762875201,863085195,1762875202,617050788,,753.966
1762875204,395362852,1762875205,49228242,,653.865
1762875206,581043645,1762875207,450325496,,869.282
1762875209,430894368,1762875210,130655304,,699.761
1762875211,107212158,1762875211,983371911,,876.16
1762875216,653221205,1762875217,177418199,,524.197
1762875376,175980495,1762875376,994682730,,818.702
1762875381,662427680,1762875382,279903196,,617.476
1762875384,803432456,1762875385,588453843,,785.021
1762875386,994684341,1762875387,747325652,,752.641
1762875389,366133702,1762875390,167142830,,801.009
1762875392,141929111,1762875392,809701426,,667.772
1762875394,679483640,1762875395,472728002,,793.244
1762875397,657265293,1762875398,413876997,,756.612
1762875398,554467072,1762875399,243282386,,688.815
1762875506,333926531,1762875507,333643269,,999.717
1762875510,923687464,1762875511,941323078,,1017.636
1762875515,210429402,1762875516,144858802,,934.429
1762875518,164518828,1762875518,915388792,,750.87
1762875520,650530440,1762875521,489816407,,839.286
1762875523,607948441,1762875524,293023814,,685.075
1762875525,972534703,1762875526,806531738,,833.997
1762875533,782204086,1762875534,448399257,,666.195
1762875770,55753902,1762875770,845510159,,789.756
1762875774,356110771,1762875775,104418222,,748.307
1762875777,15216790,1762875777,770294889,,755.078
1762875779,834086097,1762875780,481490261,,647.404
1762875782,521559240,1762875783,334830841,,813.272
1762875785,338668855,1762875786,105793488,,767.125
1762875788,81943353,1762875788,978683428,,896.74
1762875791,374158612,1762875792,41727119,,667.569
1762875793,525569060,1762875794,296831864,,771.263
1762875799,717102623,1762875800,320266686,,603.164
1762875805,636910888,1762875806,618997078,,982.086
1762875919,953956598,1762875920,877140002,,923.183
1762875924,597493637,1762875925,474862897,,877.369
1762875926,921310327,1762875927,878183991,,956.874
1762875929,394535143,1762875930,190816149,,796.281
1762875931,840775763,1762875932,580246382,,739.471
1762875934,96099531,1762875934,725511256,,629.412
1762875935,716698522,1762875936,689257817,,972.559
1762875939,126359559,1762875939,983274354,,856.915
1762875941,596050644,1762875942,390172723,,794.122
1762875949,98261608,1762875949,772456053,,674.194
1762875955,327284581,1762875956,207323151,,880.039
1762876058,574495622,1762876059,501831938,,927.336
1762876061,553898411,1762876062,416316379,,862.418
1762876064,145704821,1762876065,34664691,,888.96
1762876066,688754806,1762876067,600567841,,911.813
1762876070,55298652,1762876071,274337997,,1219.039
1762876073,203764870,1762876074,121546844,,917.782
1762876077,64640225,1762876078,150953057,,1086.313
1762876087,683154670,1762876088,505866316,,822.712
1762876197,213750945,1762876198,147013549,,933.263
1762876202,236468114,1762876203,53508303,,817.04
1762876205,548258332,1762876206,423925796,,875.667
1762876208,945121524,1762876209,691024337,,745.903
1762876212,341988744,1762876213,223393236,,881.404
1762876215,323989567,1762876216,92742909,,768.753
1762876218,495093456,1762876219,388683381,,893.59
1762876225,728490100,1762876226,385337837,,656.848
1762876317,19378645,1762876317,937608314,,918.23
1762876321,129406359,1762876321,980288589,,850.882
1762876324,457526236,1762876325,609295347,,1151.769
1762876327,987249355,1762876328,753469312,,766.22
1762876330,915398255,1762876331,772898111,,857.5
1762876334,348360564,1762876335,143229841,,794.869
1762876337,614358107,1762876338,477335308,,862.977
1762876346,812366207,1762876347,410312573,,597.946
1762876353,218894219,1762876354,123428626,,904.534
