remote_station_s,remote_station_ns,vehicle_s,vehicle_ns,,m2m_latency_ms
1762872545,550296135,1762872546,417585462,,867.289327
1762872549,652099111,1762872550,449932713,,797.833602
1762872551,898998160,1762872552,869731328,,970.733168
1762872554,667830794,1762872555,627494457,,959.663663
1762872556,855537332,1762872557,839210257,,983.672925
1762872559,348521609,1762872560,303939551,,955.417942
1762872561,788725547,1762872562,849847793,,1061.122246
1762872564,889084914,1762872565,789206438,,900.121524
1762872567,409969829,1762872568,447342623,,1037.372794
1762872570,377941449,1762872571,337551984,,959.610535
1762872572,664314205,1762872573,714007791,,1049.693586
1762872575,329403928,1762872576,288779481,,959.375553
1762872577,838715373,1762872578,879700546,,1040.985173
1762872580,585254535,1762872581,533380645,,948.12611
1762872582,999574477,1762872584,19299815,,1019.725338
1762872585,722534541,1762872586,734236098,,1011.701557
1762872588,99123832,1762872589,20940999,,921.817167
1762872590,659942257,1762872591,559719005,,899.776748
1762872593,98980054,1762872594,36174684,,937.19463
1762872595,736752357,1762872596,629418995,,892.666638
1762872598,19776578,1762872598,959035641,,939.259063
1762872600,767246256,1762872601,735941595,,968.695339
1762872603,188197895,1762872604,65689542,,877.491647
1762872605,937301783,1762872606,793992507,,856.690724
1762872608,282266012,1762872609,212873223,,930.607211
1762872611,110733654,1762872611,992924878,,882.191224
1762872614,126965976,1762872615,94476177,,967.510201
1762872617,135423730,1762872618,65240289,,929.816559
1762872619,714903965,1762872620,682174422,,967.270457
1762872622,397125995,1762872623,338025190,,940.899195
1762872625,59735373,1762872625,982877779,,923.142406
1762872627,795640119,1762872628,730383492,,934.743373
1762872634,590112763,1762872635,500664992,,910.552229
1762872637,403907751,1762872638,337651518,,933.743767
1762872640,796473280,1762872641,776054538,,979.581258
1762872643,696273139,1762872644,656470801,,960.197662
1762872646,483250102,1762872647,332676493,,849.426391
1762872649,205429184,1762872650,43904772,,838.475588
1762872651,941556021,1762872652,820636092,,879.080071
1762872654,816477528,1762872655,230147373,,413.669845
1762872656,999651579,1762872657,890187124,,890.535545
1762872660,125834970,1762872660,956869850,,831.03488
1762872662,673098235,1762872663,569674663,,896.576428
1762872665,748325765,1762872666,593247850,,844.922085
1762872668,265770706,1762872669,144783439,,879.012733
1762872670,743115607,1762872671,488563818,,745.448211
1762872673,554911117,1762872674,468847581,,913.936464
1762872676,37002972,1762872676,849546425,,812.543453
1762872678,666685638,1762872679,636718554,,970.032916
1762872681,288437443,1762872682,136147658,,847.710215
1762872683,938900615,1762872684,888871483,,949.970868
1762872686,576042660,1762872687,406288449,,830.245789
1762872689,151568553,1762872690,107395377,,955.826824
1762872691,806827457,1762872692,641977109,,835.149652
1762872694,477014081,1762872695,443822729,,966.808648
1762872697,103420374,1762872697,909302591,,805.882217
1762872699,656232588,1762872700,637461164,,981.228576
1762872706,57119162,1762872706,842599051,,785.479889
1762872708,697557169,1762872709,673748989,,976.19182
1762872711,48628554,1762872711,856855411,,808.226857
1762872714,396144006,1762872715,368857404,,972.713398
1762872717,369206203,1762872718,113647019,,744.440816
1762872720,837123510,1762872721,768537962,,931.414452
