remote_station_s,remote_station_ns,vehicle_s,vehicle_ns,,m2m_latency_ms
1762876899,597646624,1762876900,571930517,,974.283893
1762876902,810334803,1762876903,675955921,,865.621118
1762876905,798917368,1762876906,776267942,,977.350574
1762876909,14952082,1762876909,815253335,,800.301253
1762876911,199235217,1762876912,30550655,,831.315438
1762876914,305034758,1762876915,166258499,,861.223741
1762876916,753088688,1762876917,713957272,,960.868584
1762876919,103011766,1762876919,807268897,,704.257131
1762876921,557852856,1762876922,647766143,,1089.913287
1762876924,51102480,1762876924,684470596,,633.368116
1762876926,896970165,1762876927,918485331,,1021.515166
1762876930,365846348,1762876931,226239103,,860.392755
1762876933,988878880,1762876934,949173436,,960.294556
1762876937,825248290,1762876938,660313428,,835.065138
1762876940,507784352,1762876941,405950036,,898.165684
1762876943,415725530,1762876944,215086725,,799.361195
1762876946,202521531,1762876947,223300455,,1020.778924
1762876949,238225434,1762876949,980183830,,741.958396
1762876951,802421601,1762876952,766892844,,964.471243
1762876954,526602831,1762876955,215854297,,689.251466
1762876958,241143438,1762876959,138561745,,897.418307
1762876961,168977104,1762876961,972117848,,803.140744
1762876964,207716882,1762876965,102715283,,894.998401
1762876966,891423109,1762876967,663047552,,771.624443
1762876970,787196130,1762876971,643611096,,856.414966
1762876973,806901194,1762876974,572486627,,765.585433
1762876976,735666581,1762876977,655717556,,920.050975
1762876979,632586708,1762876980,412562970,,779.976262
1762876982,668407382,1762876983,613466577,,945.059195
1762876985,757160207,1762876986,640469043,,883.308836
1762876988,691489599,1762876989,752806220,,1061.316621
1762876991,734950975,1762876992,493058105,,758.10713
1762876994,487618333,1762876995,426021368,,938.403035
1762876997,147966859,1762876997,923138527,,775.171668
1762876999,780963010,1762877000,751064610,,970.1016
1762877002,909033665,1762877003,686729795,,777.69613
1762877005,599689912,1762877006,552957230,,953.267318
1762877008,510437056,1762877009,254740760,,744.303704
1762877011,293823600,1762877012,244662952,,950.839352
1762877014,78290320,1762877014,835135312,,756.844992
1762877016,959621860,1762877017,993131463,,1033.509603
1762877019,912244626,1762877020,637593295,,725.348669
1762877022,655914182,1762877023,640997819,,985.083637
1762877025,302863985,1762877026,30769421,,727.905436
1762877028,14906455,1762877029,72032219,,1057.125764
1762877031,339715819,1762877032,122936033,,783.220214
1762877033,768214792,1762877034,667677052,,899.46226
1762877036,357586030,1762877037,63105996,,705.519966
1762877038,998767572,1762877039,961401929,,962.634357
1762877041,487207631,1762877042,162758859,,675.551228
1762877043,891029106,1762877044,904699627,,1013.670521
1762877046,747096068,1762877047,476208442,,729.112374
1762877049,222594464,1762877050,207724305,,985.129841
1762877051,973380866,1762877052,638034671,,664.653805
1762877054,873754051,1762877055,823686662,,949.932611
1762877057,600461650,1762877058,369944632,,769.482982
1762877060,111896240,1762877061,52515943,,940.619703
1762877062,876252842,1762877063,612444403,,736.191561
1762877065,596368083,1762877066,546413596,,950.045513
1762877068,251153744,1762877068,936314299,,685.160555
1762877070,805285923,1762877071,771721044,,966.435121
1762877073,691229958,1762877074,458555810,,767.325852
1762877076,348648622,1762877077,381715090,,1033.066468
1762877078,999857094,1762877079,708465628,,708.608534
1762877081,456348420,1762877082,428386391,,972.037971
1762877084,268556617,1762877085,505882093,,1237.325476
