trigger_time_s,sync_offset_ns,Jitter_ns,,sync_offset_ms,Jitter_ms
0,-922624,-922624,,0.922624,0
1.065,-922880,-256,,0.92288,0.000256
2.136,-923136,-256,,0.923136,0.000256
3.222,-925696,-2560,,0.925696,0.00256
4.285,-927232,-1536,,0.927232,0.001536
5.363,-925440,1792,,0.92544,0.001792
6.436,-921856,3584,,0.921856,0.003584
7.517,-922880,-1024,,0.92288,0.001024
8.596,-921856,1024,,0.921856,0.001024
9.669,-921344,512,,0.921344,0.000512
10.735,-924928,-3584,,0.924928,0.003584
11.812,-926720,-1792,,0.92672,0.001792
12.893,-929024,-2304,,0.929024,0.002304
13.984,-933632,-4608,,0.933632,0.004608
15.058,-934144,-512,,0.934144,0.000512
16.124,-934656,-512,,0.934656,0.000512
17.205,-935168,-512,,0.935168,0.000512
18.307,-938240,-3072,,0.93824,0.003072
19.386,-941312,-3072,,0.941312,0.003072
20.452,-939008,2304,,0.939008,0.002304
21.524,-936960,2048,,0.93696,0.002048
22.597,-940032,-3072,,0.940032,0.003072
23.672,-938496,1536,,0.938496,0.001536
24.75,-936192,2304,,0.936192,0.002304
25.828,-934656,1536,,0.934656,0.001536
27.973,-931072,3584,,0.931072,0.003584
29.04,-931328,-256,,0.931328,0.000256
30.11,-931840,-512,,0.93184,0.000512
31.185,-932352,-512,,0.932352,0.000512
32.26,-931840,512,,0.93184,0.000512
33.333,-932608,-768,,0.932608,0.000768
34.41,-934144,-1536,,0.934144,0.001536
35.485,-930304,3840,,0.930304,0.00384
36.555,-929536,768,,0.929536,0.000768
37.629,-924160,5376,,0.92416,0.005376
38.702,-918528,5632,,0.918528,0.005632
39.778,-910848,7680,,0.910848,0.00768
40.858,-900608,10240,,0.900608,0.01024
41.934,-884480,16128,,0.88448,0.016128
43.007,-870144,14336,,0.870144,0.014336
44.108,-854528,15616,,0.854528,0.015616
45.204,-835072,19456,,0.835072,0.019456
46.273,-812800,22272,,0.8128,0.022272
47.348,-790272,22528,,0.790272,0.022528
48.42,-770048,20224,,0.770048,0.020224
49.497,-742656,27392,,0.742656,0.027392
50.566,-720384,22272,,0.720384,0.022272
51.644,-692480,27904,,0.69248,0.027904
52.722,-665344,27136,,0.665344,0.027136
53.793,-628480,36864,,0.62848,0.036864
54.866,-589568,38912,,0.589568,0.038912
55.938,-551936,37632,,0.551936,0.037632
57.008,-515328,36608,,0.515328,0.036608
58.08,-495616,19712,,0.495616,0.019712
59.142,-465920,29696,,0.46592,0.029696
60.211,-445184,20736,,0.445184,0.020736
61.287,-421376,23808,,0.421376,0.023808
62.359,-403456,17920,,0.403456,0.01792
63.439,-385024,18432,,0.385024,0.018432
64.515,-366336,18688,,0.366336,0.018688
65.592,-343552,22784,,0.343552,0.022784
66.666,-321792,21760,,0.321792,0.02176
67.747,-301568,20224,,0.301568,0.020224
68.818,-280320,21248,,0.28032,0.021248
69.897,-259584,20736,,0.259584,0.020736
70.961,-247296,12288,,0.247296,0.012288
72.042,-232192,15104,,0.232192,0.015104
73.117,-215552,16640,,0.215552,0.01664
74.218,-194560,20992,,0.19456,0.020992
75.285,-172032,22528,,0.172032,0.022528
76.36,-146688,25344,,0.146688,0.025344
77.431,-130048,16640,,0.130048,0.01664
78.503,-116224,13824,,0.116224,0.013824
79.582,-109056,7168,,0.109056,0.007168
80.657,-97024,12032,,0.097024,0.012032
81.728,-90112,6912,,0.090112,0.006912
82.804,-80640,9472,,0.08064,0.009472
83.869,-71424,9216,,0.071424,0.009216
84.941,-63744,7680,,0.063744,0.00768
86.013,-57088,6656,,0.057088,0.006656
87.101,-52480,4608,,0.05248,0.004608
88.173,-47104,5376,,0.047104,0.005376
89.248,-44032,3072,,0.044032,0.003072
90.316,-38144,5888,,0.038144,0.005888
91.39,-38144,0,,0.038144,0
92.45,-34304,3840,,0.034304,0.00384
93.525,-31744,2560,,0.031744,0.00256
94.596,-27648,4096,,0.027648,0.004096
95.675,-23040,4608,,0.02304,0.004608
96.746,-21248,1792,,0.021248,0.001792
97.829,-14848,6400,,0.014848,0.0064
98.915,-9728,5120,,0.009728,0.00512
99.981,-5376,4352,,0.005376,0.004352
101.047,-2304,3072,,0.002304,0.003072
102.114,4352,6656,,0.004352,0.006656
103.185,9984,5632,,0.009984,0.005632
104.281,21504,11520,,0.021504,0.01152
105.371,24064,2560,,0.024064,0.00256
106.444,29440,5376,,0.02944,0.005376
107.514,33536,4096,,0.033536,0.004096
108.593,37376,3840,,0.037376,0.00384
109.673,42240,4864,,0.04224,0.004864
110.749,46592,4352,,0.046592,0.004352
111.818,49152,2560,,0.049152,0.00256
112.887,51712,2560,,0.051712,0.00256
113.951,54272,2560,,0.054272,0.00256
115.03,56320,2048,,0.05632,0.002048
116.11,58880,2560,,0.05888,0.00256
117.183,62720,3840,,0.06272,0.00384
118.259,64000,1280,,0.064,0.00128
119.336,64256,256,,0.064256,0.000256
120.422,65024,768,,0.065024,0.000768
121.493,68864,3840,,0.068864,0.00384
122.568,70400,1536,,0.0704,0.001536
123.645,74752,4352,,0.074752,0.004352
124.731,78848,4096,,0.078848,0.004096
125.808,86784,7936,,0.086784,0.007936
126.874,103168,16384,,0.103168,0.016384
127.954,127488,24320,,0.127488,0.02432
129.023,148992,21504,,0.148992,0.021504
130.106,171264,22272,,0.171264,0.022272
131.183,183808,12544,,0.183808,0.012544
132.262,194304,10496,,0.194304,0.010496
133.333,200192,5888,,0.200192,0.005888
134.419,186624,-13568,,0.186624,0.013568
135.496,152064,-34560,,0.152064,0.03456
136.584,121344,-30720,,0.121344,0.03072
137.653,86784,-34560,,0.086784,0.03456
138.73,64256,-22528,,0.064256,0.022528
139.801,42240,-22016,,0.04224,0.022016
140.873,21248,-20992,,0.021248,0.020992
141.946,-1280,-22528,,0.00128,0.022528
143.029,-19200,-17920,,0.0192,0.01792
144.13,-35584,-16384,,0.035584,0.016384
145.244,-52736,-17152,,0.052736,0.017152
146.327,-58624,-5888,,0.058624,0.005888
147.404,-56576,2048,,0.056576,0.002048
148.477,-67072,-10496,,0.067072,0.010496
149.542,-75776,-8704,,0.075776,0.008704
150.619,-87552,-11776,,0.087552,0.011776
151.695,-101120,-13568,,0.10112,0.013568
152.766,-117760,-16640,,0.11776,0.01664
153.84,-132608,-14848,,0.132608,0.014848
154.915,-159744,-27136,,0.159744,0.027136
155.993,-186624,-26880,,0.186624,0.02688
157.07,-213248,-26624,,0.213248,0.026624
158.142,-238080,-24832,,0.23808,0.024832
159.217,-248832,-10752,,0.248832,0.010752
160.292,-262400,-13568,,0.2624,0.013568
161.364,-272640,-10240,,0.27264,0.01024
162.439,-269568,3072,,0.269568,0.003072
164.558,-245760,23808,,0.24576,0.023808
165.635,-231168,14592,,0.231168,0.014592
166.706,-215040,16128,,0.21504,0.016128
167.781,-195072,19968,,0.195072,0.019968
168.851,-174080,20992,,0.17408,0.020992
169.923,-146944,27136,,0.146944,0.027136
170.983,-113152,33792,,0.113152,0.033792
172.071,-79360,33792,,0.07936,0.033792
173.16,-39936,39424,,0.039936,0.039424
174.239,-11776,28160,,0.011776,0.02816
175.312,-4864,6912,,0.004864,0.006912
176.387,12288,17152,,0.012288,0.017152
177.455,31744,19456,,0.031744,0.019456
178.533,51968,20224,,0.051968,0.020224
179.611,60416,8448,,0.060416,0.008448
180.678,82176,21760,,0.082176,0.02176
181.754,104192,22016,,0.104192,0.022016
182.817,109056,4864,,0.109056,0.004864
183.888,99584,-9472,,0.099584,0.009472
184.965,80128,-19456,,0.080128,0.019456
186.038,62208,-17920,,0.062208,0.01792
187.111,55808,-6400,,0.055808,0.0064
188.182,50432,-5376,,0.050432,0.005376
189.262,41472,-8960,,0.041472,0.00896
190.344,32512,-8960,,0.032512,0.00896
191.421,18432,-14080,,0.018432,0.01408
192.49,14336,-4096,,0.014336,0.004096
193.574,13056,-1280,,0.013056,0.00128
194.687,12288,-768,,0.012288,0.000768
195.765,8960,-3328,,0.00896,0.003328
196.84,15360,6400,,0.01536,0.0064
197.919,22528,7168,,0.022528,0.007168
198.999,34816,12288,,0.034816,0.012288
200.082,39168,4352,,0.039168,0.004352
201.149,38400,-768,,0.0384,0.000768
202.228,35840,-2560,,0.03584,0.00256
203.292,36608,768,,0.036608,0.000768
204.37,37888,1280,,0.037888,0.00128
