trigger_time_s,sync_offset_ns,Jitter_ns,,sync_offset_ms,Jitter_ms
0,864512,864512,,0.864512,0
1.069,849920,-14592,,0.84992,0.014592
2.142,870912,20992,,0.870912,0.020992
3.211,472832,-398080,,0.472832,0.39808
4.273,308736,-164096,,0.308736,0.164096
5.344,512256,203520,,0.512256,0.20352
6.414,647680,135424,,0.64768,0.135424
7.489,748032,100352,,0.748032,0.100352
8.548,775168,27136,,0.775168,0.027136
9.623,324864,-450304,,0.324864,0.450304
10.694,317696,-7168,,0.317696,0.007168
11.774,401408,83712,,0.401408,0.083712
12.852,653568,252160,,0.653568,0.25216
13.925,915456,261888,,0.915456,0.261888
14.998,952064,36608,,0.952064,0.036608
16.066,1003776,51712,,1.003776,0.051712
17.141,1036288,32512,,1.036288,0.032512
18.222,1059328,23040,,1.059328,0.02304
19.305,1080832,21504,,1.080832,0.021504
20.406,1104128,23296,,1.104128,0.023296
21.518,1125376,21248,,1.125376,0.021248
22.585,1171968,46592,,1.171968,0.046592
23.655,1233664,61696,,1.233664,0.061696
24.728,1220864,-12800,,1.220864,0.0128
25.798,577536,-643328,,0.577536,0.643328
26.86,581632,4096,,0.581632,0.004096
27.933,617216,35584,,0.617216,0.035584
29.007,680192,62976,,0.680192,0.062976
30.081,738816,58624,,0.738816,0.058624
31.156,769792,30976,,0.769792,0.030976
32.229,835328,65536,,0.835328,0.065536
33.3,900608,65280,,0.900608,0.06528
34.37,966400,65792,,0.9664,0.065792
35.44,1019392,52992,,1.019392,0.052992
36.503,806656,-212736,,0.806656,0.212736
37.579,644864,-161792,,0.644864,0.161792
38.649,525312,-119552,,0.525312,0.119552
39.721,408576,-116736,,0.408576,0.116736
40.787,219392,-189184,,0.219392,0.189184
41.854,206848,-12544,,0.206848,0.012544
42.919,231424,24576,,0.231424,0.024576
43.991,324096,92672,,0.324096,0.092672
45.047,288512,-35584,,0.288512,0.035584
46.105,-92928,-381440,,0.092928,0.38144
47.173,-123392,-30464,,0.123392,0.030464
48.232,-157952,-34560,,0.157952,0.03456
49.291,-190720,-32768,,0.19072,0.032768
50.352,-269312,-78592,,0.269312,0.078592
51.408,-387584,-118272,,0.387584,0.118272
52.481,-403968,-16384,,0.403968,0.016384
53.542,-389888,14080,,0.389888,0.01408
54.605,-352000,37888,,0.352,0.037888
55.668,-355328,-3328,,0.355328,0.003328
56.728,-401152,-45824,,0.401152,0.045824
57.784,-487680,-86528,,0.48768,0.086528
58.843,-547328,-59648,,0.547328,0.059648
59.9,-572416,-25088,,0.572416,0.025088
60.963,-596224,-23808,,0.596224,0.023808
62.021,-622080,-25856,,0.62208,0.025856
63.077,-668160,-46080,,0.66816,0.04608
64.133,-689664,-21504,,0.689664,0.021504
65.195,-708864,-19200,,0.708864,0.0192
66.261,-713984,-5120,,0.713984,0.00512
67.324,-700672,13312,,0.700672,0.013312
68.383,-689664,11008,,0.689664,0.011008
69.442,-721408,-31744,,0.721408,0.031744
70.501,-754688,-33280,,0.754688,0.03328
71.559,-777472,-22784,,0.777472,0.022784
72.62,-803584,-26112,,0.803584,0.026112
73.678,-823296,-19712,,0.823296,0.019712
74.735,-830720,-7424,,0.83072,0.007424
75.797,-822784,7936,,0.822784,0.007936
76.861,-822272,512,,0.822272,0.000512
77.92,-797696,24576,,0.797696,0.024576
78.985,-473600,324096,,0.4736,0.324096
80.044,-46080,427520,,0.04608,0.42752
81.1,62464,108544,,0.062464,0.108544
82.16,47872,-14592,,0.047872,0.014592
83.218,51712,3840,,0.051712,0.00384
84.277,52992,1280,,0.052992,0.00128
85.338,38656,-14336,,0.038656,0.014336
86.394,-9728,-48384,,0.009728,0.048384
87.459,-43776,-34048,,0.043776,0.034048
88.522,-32000,11776,,0.032,0.011776
89.581,55296,87296,,0.055296,0.087296
90.645,96768,41472,,0.096768,0.041472
91.704,151040,54272,,0.15104,0.054272
92.796,164096,13056,,0.164096,0.013056
93.861,270592,106496,,0.270592,0.106496
94.921,459776,189184,,0.459776,0.189184
95.98,561152,101376,,0.561152,0.101376
97.047,592640,31488,,0.59264,0.031488
98.105,615936,23296,,0.615936,0.023296
99.162,631552,15616,,0.631552,0.015616
100.221,654336,22784,,0.654336,0.022784
101.277,685056,30720,,0.685056,0.03072
102.338,747008,61952,,0.747008,0.061952
103.392,836864,89856,,0.836864,0.089856
104.45,817920,-18944,,0.81792,0.018944
105.513,813312,-4608,,0.813312,0.004608
106.573,474624,-338688,,0.474624,0.338688
107.633,448512,-26112,,0.448512,0.026112
108.693,411392,-37120,,0.411392,0.03712
109.748,346880,-64512,,0.34688,0.064512
110.811,285952,-60928,,0.285952,0.060928
111.873,293120,7168,,0.29312,0.007168
112.949,300032,6912,,0.300032,0.006912
114.01,311808,11776,,0.311808,0.011776
115.084,320512,8704,,0.320512,0.008704
116.146,330240,9728,,0.33024,0.009728
117.203,330496,256,,0.330496,0.000256
118.268,302848,-27648,,0.302848,0.027648
119.328,223488,-79360,,0.223488,0.07936
120.394,119808,-103680,,0.119808,0.10368
121.455,90112,-29696,,0.090112,0.029696
122.516,97536,7424,,0.097536,0.007424
123.583,116480,18944,,0.11648,0.018944
124.642,130816,14336,,0.130816,0.014336
125.7,147456,16640,,0.147456,0.01664
126.762,130816,-16640,,0.130816,0.01664
127.821,97280,-33536,,0.09728,0.033536
128.88,94464,-2816,,0.094464,0.002816
129.949,103168,8704,,0.103168,0.008704
131.011,97536,-5632,,0.097536,0.005632
132.067,90624,-6912,,0.090624,0.006912
133.124,99072,8448,,0.099072,0.008448
134.19,111104,12032,,0.111104,0.012032
135.246,105216,-5888,,0.105216,0.005888
136.307,67072,-38144,,0.067072,0.038144
137.363,25344,-41728,,0.025344,0.041728
138.427,-28672,-54016,,0.028672,0.054016
139.485,-70656,-41984,,0.070656,0.041984
140.553,-82688,-12032,,0.082688,0.012032
141.615,-96000,-13312,,0.096,0.013312
142.68,-110848,-14848,,0.110848,0.014848
143.746,-119552,-8704,,0.119552,0.008704
144.807,-124928,-5376,,0.124928,0.005376
145.865,-131072,-6144,,0.131072,0.006144
146.92,-139264,-8192,,0.139264,0.008192
147.984,-161024,-21760,,0.161024,0.02176
149.038,-181504,-20480,,0.181504,0.02048
150.108,-209152,-27648,,0.209152,0.027648
151.317,-237312,-28160,,0.237312,0.02816
152.379,-251392,-14080,,0.251392,0.01408
153.449,-263424,-12032,,0.263424,0.012032
154.524,-273920,-10496,,0.27392,0.010496
155.591,-284928,-11008,,0.284928,0.011008
156.669,-300032,-15104,,0.300032,0.015104
157.733,-295680,4352,,0.29568,0.004352
158.797,-288256,7424,,0.288256,0.007424
159.861,-273664,14592,,0.273664,0.014592
160.92,-244224,29440,,0.244224,0.02944
161.981,-196096,48128,,0.196096,0.048128
163.037,-140288,55808,,0.140288,0.055808
164.129,-103424,36864,,0.103424,0.036864
165.187,-76800,26624,,0.0768,0.026624
166.245,-19712,57088,,0.019712,0.057088
167.307,-13056,6656,,0.013056,0.006656
168.368,16896,29952,,0.016896,0.029952
169.426,45568,28672,,0.045568,0.028672
170.493,63232,17664,,0.063232,0.017664
171.549,64512,1280,,0.064512,0.00128
172.611,64512,0,,0.064512,0
173.682,57600,-6912,,0.0576,0.006912
174.74,56576,-1024,,0.056576,0.001024
175.796,50944,-5632,,0.050944,0.005632
176.862,40960,-9984,,0.04096,0.009984
177.92,42240,1280,,0.04224,0.00128
178.98,78592,36352,,0.078592,0.036352
180.043,167936,89344,,0.167936,0.089344
181.15,215552,47616,,0.215552,0.047616
182.213,230400,14848,,0.2304,0.014848
183.268,249344,18944,,0.249344,0.018944
184.332,257792,8448,,0.257792,0.008448
185.39,281600,23808,,0.2816,0.023808
186.446,274688,-6912,,0.274688,0.006912
187.509,264192,-10496,,0.264192,0.010496
188.567,271104,6912,,0.271104,0.006912
189.627,316928,45824,,0.316928,0.045824
190.685,377856,60928,,0.377856,0.060928
191.743,420864,43008,,0.420864,0.043008
192.803,426496,5632,,0.426496,0.005632
193.861,418560,-7936,,0.41856,0.007936
194.916,424960,6400,,0.42496,0.0064
195.987,446208,21248,,0.446208,0.021248
197.065,482048,35840,,0.482048,0.03584
198.126,511232,29184,,0.511232,0.029184
199.185,536832,25600,,0.536832,0.0256
200.241,543744,6912,,0.543744,0.006912
201.297,546816,3072,,0.546816,0.003072
202.359,537856,-8960,,0.537856,0.00896
203.417,516864,-20992,,0.516864,0.020992
204.473,469248,-47616,,0.469248,0.047616
205.539,421120,-48128,,0.42112,0.048128
206.6,398080,-23040,,0.39808,0.02304
207.669,380160,-17920,,0.38016,0.01792
208.738,367872,-12288,,0.367872,0.012288
209.795,339200,-28672,,0.3392,0.028672
210.916,313856,-25344,,0.313856,0.025344
211.98,315904,2048,,0.315904,0.002048
213.055,320512,4608,,0.320512,0.004608
214.154,330496,9984,,0.330496,0.009984
215.234,347392,16896,,0.347392,0.016896
216.295,345856,-1536,,0.345856,0.001536
217.349,343552,-2304,,0.343552,0.002304
218.413,348928,5376,,0.348928,0.005376
219.469,368896,19968,,0.368896,0.019968
220.529,382208,13312,,0.382208,0.013312
221.6,390144,7936,,0.390144,0.007936
222.658,404480,14336,,0.40448,0.014336
223.715,401408,-3072,,0.401408,0.003072
224.774,404992,3584,,0.404992,0.003584
225.835,412928,7936,,0.412928,0.007936
226.895,420608,7680,,0.420608,0.00768
227.957,424192,3584,,0.424192,0.003584
229.023,429824,5632,,0.429824,0.005632
230.08,452096,22272,,0.452096,0.022272
231.14,467200,15104,,0.4672,0.015104
232.196,471552,4352,,0.471552,0.004352
233.262,471808,256,,0.471808,0.000256
234.327,455168,-16640,,0.455168,0.01664
235.39,446976,-8192,,0.446976,0.008192
236.448,424960,-22016,,0.42496,0.022016
237.508,397056,-27904,,0.397056,0.027904
238.571,367872,-29184,,0.367872,0.029184
239.637,340736,-27136,,0.340736,0.027136
240.78,317696,-23040,,0.317696,0.02304
241.837,308992,-8704,,0.308992,0.008704
242.905,299008,-9984,,0.299008,0.009984
243.988,290560,-8448,,0.29056,0.008448
245.055,281088,-9472,,0.281088,0.009472
246.115,271360,-9728,,0.27136,0.009728
247.178,257536,-13824,,0.257536,0.013824
248.244,251136,-6400,,0.251136,0.0064
249.303,244736,-6400,,0.244736,0.0064
250.374,253184,8448,,0.253184,0.008448
251.435,274944,21760,,0.274944,0.02176
252.494,288000,13056,,0.288,0.013056
253.557,301568,13568,,0.301568,0.013568
254.621,309760,8192,,0.30976,0.008192
